Frame_261: FPS: 838.1768, Total Parameters: 400000, Avg Tiles Hit: 324014.00
Frame_262: FPS: 857.7519, Total Parameters: 400000, Avg Tiles Hit: 326256.00
Frame_263: FPS: 856.1394, Total Parameters: 400000, Avg Tiles Hit: 327663.00
Frame_264: FPS: 849.5223, Total Parameters: 400000, Avg Tiles Hit: 329998.00
Frame_265: FPS: 849.3950, Total Parameters: 400000, Avg Tiles Hit: 331781.00
Frame_266: FPS: 842.4919, Total Parameters: 400000, Avg Tiles Hit: 333690.00
Frame_267: FPS: 842.0251, Total Parameters: 400000, Avg Tiles Hit: 334906.00
Frame_268: FPS: 812.9599, Total Parameters: 400000, Avg Tiles Hit: 336737.00
Frame_269: FPS: 840.4998, Total Parameters: 400000, Avg Tiles Hit: 338028.00
Frame_270: FPS: 835.6436, Total Parameters: 400000, Avg Tiles Hit: 339574.00
Frame_271: FPS: 829.1187, Total Parameters: 400000, Avg Tiles Hit: 341650.00
Frame_272: FPS: 830.8547, Total Parameters: 400000, Avg Tiles Hit: 343041.00
Frame_273: FPS: 825.3320, Total Parameters: 400000, Avg Tiles Hit: 344770.00
Frame_274: FPS: 824.9618, Total Parameters: 400000, Avg Tiles Hit: 346287.00
Frame_275: FPS: 822.4464, Total Parameters: 400000, Avg Tiles Hit: 348139.00
Frame_276: FPS: 816.5780, Total Parameters: 400000, Avg Tiles Hit: 349339.00
Frame_277: FPS: 816.6575, Total Parameters: 400000, Avg Tiles Hit: 351262.00
Frame_278: FPS: 813.3808, Total Parameters: 400000, Avg Tiles Hit: 352964.00
Frame_279: FPS: 812.7976, Total Parameters: 400000, Avg Tiles Hit: 355145.00
Frame_280: FPS: 808.0639, Total Parameters: 400000, Avg Tiles Hit: 356714.00
Frame_281: FPS: 809.5987, Total Parameters: 400000, Avg Tiles Hit: 357736.00
Frame_282: FPS: 806.0823, Total Parameters: 400000, Avg Tiles Hit: 359420.00
Frame_283: FPS: 801.0542, Total Parameters: 400000, Avg Tiles Hit: 360760.00
Frame_284: FPS: 773.0410, Total Parameters: 400000, Avg Tiles Hit: 362011.00
Frame_285: FPS: 777.0640, Total Parameters: 400000, Avg Tiles Hit: 362835.00
Frame_286: FPS: 773.9953, Total Parameters: 400000, Avg Tiles Hit: 364327.00
Frame_287: FPS: 799.2149, Total Parameters: 400000, Avg Tiles Hit: 365411.00
Frame_288: FPS: 797.0537, Total Parameters: 400000, Avg Tiles Hit: 366475.00
Frame_289: FPS: 796.9523, Total Parameters: 400000, Avg Tiles Hit: 366822.00
Frame_290: FPS: 792.2062, Total Parameters: 400000, Avg Tiles Hit: 368166.00
Frame_291: FPS: 794.4570, Total Parameters: 400000, Avg Tiles Hit: 369003.00
Frame_292: FPS: 778.4948, Total Parameters: 400000, Avg Tiles Hit: 369665.00
Frame_293: FPS: 787.4631, Total Parameters: 400000, Avg Tiles Hit: 371713.00
Frame_294: FPS: 790.3164, Total Parameters: 400000, Avg Tiles Hit: 372949.00
Frame_295: FPS: 789.0155, Total Parameters: 400000, Avg Tiles Hit: 373461.00
Frame_296: FPS: 762.9808, Total Parameters: 400000, Avg Tiles Hit: 374341.00
Frame_297: FPS: 785.2634, Total Parameters: 400000, Avg Tiles Hit: 374834.00
Frame_298: FPS: 781.2484, Total Parameters: 400000, Avg Tiles Hit: 376049.00
Frame_299: FPS: 761.8624, Total Parameters: 400000, Avg Tiles Hit: 377075.00
Frame_300: FPS: 916.4352, Total Parameters: 400000, Avg Tiles Hit: 291830.00
Frame_301: FPS: 912.2871, Total Parameters: 400000, Avg Tiles Hit: 296282.00
Frame_302: FPS: 873.1512, Total Parameters: 400000, Avg Tiles Hit: 299480.00
Frame_303: FPS: 903.4425, Total Parameters: 400000, Avg Tiles Hit: 302430.00
Frame_304: FPS: 896.9759, Total Parameters: 400000, Avg Tiles Hit: 305945.00
Frame_305: FPS: 894.5807, Total Parameters: 400000, Avg Tiles Hit: 309147.00
Frame_306: FPS: 862.7770, Total Parameters: 400000, Avg Tiles Hit: 312167.00
Frame_307: FPS: 885.3861, Total Parameters: 400000, Avg Tiles Hit: 314326.00
Frame_308: FPS: 884.5682, Total Parameters: 400000, Avg Tiles Hit: 316588.00
Frame_309: FPS: 883.5899, Total Parameters: 400000, Avg Tiles Hit: 318805.00
Frame_310: FPS: 875.1132, Total Parameters: 400000, Avg Tiles Hit: 321049.00
Frame_311: FPS: 861.5771, Total Parameters: 400000, Avg Tiles Hit: 323269.00
Frame_312: FPS: 862.0305, Total Parameters: 400000, Avg Tiles Hit: 324878.00
Frame_313: FPS: 858.7283, Total Parameters: 400000, Avg Tiles Hit: 327184.00
